Date,Open,High,Low,Close,Volume
05/26/2021,"76.56","85.21","76.43","84.20","2,156,509"
05/25/2021,"81.00","81.37","75.69","76.06","2,088,891"
05/24/2021,"78.60","82.31","77.51","80.84","1,452,984"
05/21/2021,"78.42","80.14","76.53","78.40","1,486,396"
05/20/2021,"75.00","78.36","74.72","77.53","1,596,477"
05/19/2021,"69.85","74.80","69.33","73.92","1,428,527"
05/18/2021,"73.20","74.88","71.26","73.87","1,750,635"
05/17/2021,"68.75","73.06","68.01","72.48","2,100,960"
05/14/2021,"65.96","69.87","64.13","69.45","4,881,758"
05/13/2021,"60.12","67.30","58.83","64.72","9,167,021"
05/12/2021,"67.95","68.35","60.07","60.17","12,298,460"
05/11/2021,"66.01","74.82","65.13","73.85","3,831,255"
05/10/2021,"77.36","77.59","71.05","71.06","3,391,395"
05/07/2021,"77.97","81.01","77.03","79.11","1,578,232"
05/06/2021,"80.49","80.49","73.20","76.13","3,162,755"
05/05/2021,"84.07","84.73","80.05","81.08","1,444,200"
05/04/2021,"85.05","85.35","80.05","83.67","2,152,779"
05/03/2021,"90.91","90.91","85.75","86.20","1,253,321"
04/30/2021,"90.98","93.64","90.03","90.40","721,572"
04/29/2021,"95.61","97.09","90.71","92.51","1,103,517"
04/28/2021,"95.04","96.72","94.09","94.60","1,017,447"
04/27/2021,"97.56","100.57","95.95","97.17","1,483,709"
04/26/2021,"94.94","100.36","94.55","97.56","1,816,322"
04/23/2021,"92.05","95.53","91.09","93.92","1,953,557"
04/22/2021,"90.65","93.74","87.25","90.54","2,272,066"
04/21/2021,"80.77","90.10","78.80","89.75","2,815,826"
04/20/2021,"83.57","85.25","78.77","80.98","2,861,645"
04/19/2021,"87.36","88.37","83.31","84.07","1,355,528"
04/16/2021,"88.23","88.50","86.05","87.85","1,299,547"
04/15/2021,"89.84","91.98","86.64","88.25","1,580,815"
04/14/2021,"90.77","93.20","88.15","88.60","1,522,166"
04/13/2021,"90.47","90.77","87.73","89.40","1,491,838"
04/12/2021,"92.50","92.53","88.36","89.78","1,550,340"
04/09/2021,"94.66","94.90","91.30","92.69","1,299,137"
04/08/2021,"91.60","96.52","91.10","95.00","1,835,820"
04/07/2021,"95.00","96.21","90.94","91.66","1,164,502"
04/06/2021,"92.50","98.91","92.41","95.20","1,742,301"
04/05/2021,"96.80","97.05","90.06","92.05","1,593,104"
04/01/2021,"96.00","98.45","93.34","95.58","1,565,306"
03/31/2021,"91.34","94.33","89.94","93.13","1,999,950"
03/30/2021,"82.50","90.35","80.31","89.86","2,712,116"
03/29/2021,"86.28","88.31","81.90","83.61","2,451,864"
03/26/2021,"89.23","91.98","82.87","87.38","2,625,696"
03/25/2021,"86.49","92.30","84.70","88.99","2,911,072"
03/24/2021,"96.31","97.79","88.11","89.28","2,404,223"
03/23/2021,"98.00","99.46","94.38","95.88","1,547,235"
03/22/2021,"99.71","101.93","96.08","98.60","2,332,842"
03/19/2021,"98.75","100.23","94.22","99.70","3,740,863"
03/18/2021,"101.99","102.88","95.48","96.25","3,437,982"
03/17/2021,"101.86","105.80","97.60","104.77","3,016,194"
03/16/2021,"110.00","113.17","105.06","107.33","2,634,311"
03/15/2021,"106.21","111.75","104.25","109.98","3,083,611"
03/12/2021,"105.01","105.01","98.41","104.54","3,462,143"
03/11/2021,"95.10","109.74","94.00","105.88","6,319,557"
03/10/2021,"94.34","100.70","91.50","94.07","2,889,106"
03/09/2021,"87.56","95.87","86.90","93.52","3,725,482"
03/08/2021,"92.53","95.11","86.20","86.75","3,277,014"
03/05/2021,"96.20","96.50","80.02","92.90","6,073,215"
03/04/2021,"102.66","108.06","91.74","95.80","5,476,660"
03/03/2021,"113.02","113.28","102.00","103.07","4,555,083"
03/02/2021,"119.70","119.73","110.00","110.45","7,638,155"
03/01/2021,"127.00","132.88","127.00","132.43","2,541,236"
02/26/2021,"127.00","129.29","118.33","125.79","2,821,805"
02/25/2021,"129.00","136.79","121.10","125.45","2,963,608"
02/24/2021,"132.07","135.47","125.10","129.02","2,072,372"
02/23/2021,"130.00","133.63","113.55","129.28","4,381,133"
02/22/2021,"147.07","147.07","135.26","137.25","3,269,751"
02/19/2021,"147.74","153.20","146.50","148.59","1,778,114"
02/18/2021,"148.82","149.85","141.13","145.18","2,169,071"
02/17/2021,"155.99","158.75","146.77","152.25","2,171,208"
02/16/2021,"165.83","171.56","154.61","159.02","2,922,326"
02/12/2021,"161.50","168.44","161.31","163.93","2,307,137"
02/11/2021,"156.15","162.88","152.13","160.17","2,804,709"
02/10/2021,"158.69","165.75","147.11","154.77","3,689,388"
02/09/2021,"141.90","157.49","141.90","155.58","4,144,239"
